"index","Ligand","Receptor","markers.x","Bretigea_1.x","Bretigea_2.x","CellMarker_1.x","CellMarker_2.x","PanglaoDB_1.x","PanglaoDB_2.x","HumanProteinAtlas_1.x","HumanProteinAtlas_2.x","cell_type_1.x","cell_type_2.x","Consensus.x","Score.x","markers.y","Bretigea_1.y","Bretigea_2.y","CellMarker_1.y","CellMarker_2.y","PanglaoDB_1.y","PanglaoDB_2.y","HumanProteinAtlas_1.y","HumanProteinAtlas_2.y","cell_type_1.y","cell_type_2.y","Consensus.y","Score.y","Combined","Interaction"
1124,"COL4A1","ITGB8","COL4A1","Endothelial",NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Endothelial",0.65,"ITGB8","Oligodendrocyte",NA,"Neuron",NA,"T cell",NA,NA,NA,"Neuron","Neuron","Neuron",0.54,"Endothelial-Neuron","COL4A1_ITGB8"
1125,"FN1","ITGB8","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"ITGB8","Oligodendrocyte",NA,"Neuron",NA,"T cell",NA,NA,NA,"Neuron","Neuron","Neuron",0.54,"Endothelial-Neuron","FN1_ITGB8"
1126,"LAMA1","ITGB8","LAMA1","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","OPC","Astrocyte",0.47,"ITGB8","Oligodendrocyte",NA,"Neuron",NA,"T cell",NA,NA,NA,"Neuron","Neuron","Neuron",0.54,"Astrocyte-Neuron","LAMA1_ITGB8"
1136,"CORT","GHSR","CORT",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"GHSR",NA,NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.27,"Neuron-Neuron","CORT_GHSR"
1144,"UCN","CRHR1","UCN",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.36,"CRHR1",NA,NA,NA,NA,"Neuron",NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.39,"Neuron-Neuron","UCN_CRHR1"
1150,"CSF1","CSF1R","CSF1",NA,NA,NA,"Microglia",NA,NA,NA,NA,"Microglia","OPC","Microglia",0.21,"CSF1R","Microglia",NA,"Microglia","Microglia",NA,"Microglia",NA,"Neuron","Microglia","OPC","Microglia",0.81,"Microglia-Microglia","CSF1_CSF1R"
1157,"CSF3","CSF3R","CSF3","Endothelial",NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.49,"CSF3R","Microglia",NA,"Microglia",NA,NA,NA,"Neuron",NA,"Microglia","OPC","Microglia",0.72,"Neuron-Microglia","CSF3_CSF3R"
1162,"FN1","SDC2","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"SDC2","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Astrocyte",0.54,"Endothelial-Astrocyte","FN1_SDC2"
1163,"HGF","SDC2","HGF","Astrocyte",NA,"Neuron","Astrocyte",NA,NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.87,"SDC2","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Astrocyte",0.54,"Astrocyte-Astrocyte","HGF_SDC2"
1166,"PF4","SDC2","PF4",NA,NA,NA,NA,"Microglia",NA,NA,NA,"Neuron","Microglia","Microglia",0.22,"SDC2","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Astrocyte",0.54,"Microglia-Astrocyte","PF4_SDC2"
1173,"CTHRC1","FZD3","CTHRC1",NA,NA,NA,NA,NA,NA,"Neuron",NA,"OPC","Neuron","Neuron",0.3,"FZD3",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Astrocyte","Neuron",0.24,"Neuron-Neuron","CTHRC1_FZD3"
1188,"CTHRC1","FZD6","CTHRC1",NA,NA,NA,NA,NA,NA,"Neuron",NA,"OPC","Neuron","Neuron",0.3,"FZD6","Endothelial",NA,NA,NA,NA,NA,NA,"Endothelial","Astrocyte","Neuron","Endothelial",0.45,"Neuron-Endothelial","CTHRC1_FZD6"
1210,"HGF","MET","HGF","Astrocyte",NA,"Neuron","Astrocyte",NA,NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.87,"MET",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Astrocyte-Neuron","HGF_MET"
1211,"SEMA4D","MET","SEMA4D","Oligodendrocyte",NA,NA,NA,"Oligodendrocyte",NA,NA,"Neuron","Neuron","Neuron","Oligodendrocyte",0.2,"MET",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Oligodendrocyte-Neuron","SEMA4D_MET"
1212,"SEMA5A","MET","SEMA5A","OPC",NA,"Neuron",NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Neuron",0.53,"MET",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","SEMA5A_MET"
1240,"RSPO3","LRP6","RSPO3","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"LRP6","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Oligodendrocyte","Astrocyte","Oligodendrocyte",0.14,"Neuron-Oligodendrocyte","RSPO3_LRP6"
1247,"DLL1","NOTCH3","DLL1","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte",0.28,"NOTCH3","Endothelial",NA,NA,NA,NA,"Neuron","Endothelial",NA,"Astrocyte","Microglia","Endothelial",0.43,"Oligodendrocyte-Endothelial","DLL1_NOTCH3"
1249,"DLL4","NOTCH3","DLL4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.57,"NOTCH3","Endothelial",NA,NA,NA,NA,"Neuron","Endothelial",NA,"Astrocyte","Microglia","Endothelial",0.43,"Endothelial-Endothelial","DLL4_NOTCH3"
1250,"JAG1","NOTCH3","JAG1",NA,NA,"Neuron","Neuron",NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.56,"NOTCH3","Endothelial",NA,NA,NA,NA,"Neuron","Endothelial",NA,"Astrocyte","Microglia","Endothelial",0.43,"Neuron-Endothelial","JAG1_NOTCH3"
1252,"PSEN1","NOTCH3","PSEN1","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","OPC","Oligodendrocyte",0.22,"NOTCH3","Endothelial",NA,NA,NA,NA,"Neuron","Endothelial",NA,"Astrocyte","Microglia","Endothelial",0.43,"Oligodendrocyte-Endothelial","PSEN1_NOTCH3"
1253,"THBS2","NOTCH3","THBS2","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.58,"NOTCH3","Endothelial",NA,NA,NA,NA,"Neuron","Endothelial",NA,"Astrocyte","Microglia","Endothelial",0.43,"Neuron-Endothelial","THBS2_NOTCH3"
1255,"DLL1","NOTCH4","DLL1","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte",0.28,"NOTCH4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.58,"Oligodendrocyte-Endothelial","DLL1_NOTCH4"
1257,"DLL4","NOTCH4","DLL4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.57,"NOTCH4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.58,"Endothelial-Endothelial","DLL4_NOTCH4"
1258,"JAG1","NOTCH4","JAG1",NA,NA,"Neuron","Neuron",NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.56,"NOTCH4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.58,"Neuron-Endothelial","JAG1_NOTCH4"
1260,"PSEN1","NOTCH4","PSEN1","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","OPC","Oligodendrocyte",0.22,"NOTCH4","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.58,"Oligodendrocyte-Endothelial","PSEN1_NOTCH4"
1325,"EFNB2","EPHA6","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"EPHA6","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Oligodendrocyte","Neuron",0.14,"Neuron-Neuron","EFNB2_EPHA6"
1352,"EFNB2","EPHB3","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"EPHB3",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"Neuron-Neuron","EFNB2_EPHB3"
1353,"EFNB3","EPHB3","EFNB3","Neuron",NA,NA,NA,NA,"Oligodendrocyte","Neuron",NA,"Neuron","Neuron","Neuron",0.46,"EPHB3",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"Neuron-Neuron","EFNB3_EPHB3"
1358,"EFNB2","GRM1","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"GRM1","Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",NA,"Neuron","Neuron","Neuron",0.5,"Neuron-Neuron","EFNB2_GRM1"
1359,"EFNB2","GRM5","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"GRM5","Neuron",NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","OPC","Neuron",0.27,"Neuron-Neuron","EFNB2_GRM5"
1360,"EFNB2","RHBDL2","EFNB2",NA,NA,NA,NA,NA,NA,"Neuron","Endothelial","Neuron","Neuron","Neuron",0.45,"RHBDL2","Oligodendrocyte",NA,NA,NA,NA,NA,NA,"Neuron","OPC","Neuron","Oligodendrocyte",0.22,"Neuron-Oligodendrocyte","EFNB2_RHBDL2"
1361,"EFNB3","RHBDL2","EFNB3","Neuron",NA,NA,NA,NA,"Oligodendrocyte","Neuron",NA,"Neuron","Neuron","Neuron",0.46,"RHBDL2","Oligodendrocyte",NA,NA,NA,NA,NA,NA,"Neuron","OPC","Neuron","Oligodendrocyte",0.22,"Neuron-Oligodendrocyte","EFNB3_RHBDL2"
1365,"EPO","CRLF3","EPO",NA,NA,NA,NA,"Neuron",NA,NA,NA,"Astrocyte","Neuron","Neuron",0.21,"CRLF3",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","EPO_CRLF3"
1378,"GNAI2","F2R","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"F2R",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Microglia","Neuron","Neuron",0.28,"Endothelial-Neuron","GNAI2_F2R"
1400,"FASLG","TNFRSF6B","FASLG",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.47,"TNFRSF6B",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.46,"Neuron-Neuron","FASLG_TNFRSF6B"
1401,"TNFSF14","TNFRSF6B","TNFSF14","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.58,"TNFRSF6B",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.46,"Microglia-Neuron","TNFSF14_TNFRSF6B"
1403,"FAT4","DCHS1","FAT4",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Neuron","Neuron",0.28,"DCHS1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","OPC","Neuron",0.27,"Neuron-Neuron","FAT4_DCHS1"
1457,"FGF3","FGFRL1","FGF3",NA,NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.31,"FGFRL1","Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron","Neuron",0.73,"Neuron-Neuron","FGF3_FGFRL1"
1461,"FGF13","SCN8A","FGF13","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"SCN8A","Neuron",NA,NA,NA,NA,NA,NA,NA,"OPC","Neuron","Neuron",0.22,"Neuron-Neuron","FGF13_SCN8A"
1473,"FN1","PLAUR","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"PLAUR","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.67,"Endothelial-Microglia","FN1_PLAUR"
1476,"PLAU","PLAUR","PLAU","Microglia",NA,NA,NA,NA,NA,NA,"Endothelial","Microglia","Neuron","Microglia",0.67,"PLAUR","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.67,"Microglia-Microglia","PLAU_PLAUR"
1487,"FZD8","CKAP4","FZD8","Astrocyte",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte","Astrocyte",0.64,"CKAP4",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte","Neuron",0.24,"Astrocyte-Neuron","FZD8_CKAP4"
1488,"GAL","GALR1","GAL",NA,NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.52,"GALR1","Oligodendrocyte","OPC",NA,NA,NA,NA,NA,NA,"OPC","Neuron","Oligodendrocyte",0.22,"Neuron-Oligodendrocyte","GAL_GALR1"
1496,"PROS1","AXL","PROS1","OPC",NA,NA,NA,NA,NA,NA,NA,"OPC","Neuron","OPC",0.07,"AXL",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Astrocyte","Microglia","Microglia",0.14,"OPC-Microglia","PROS1_AXL"
1498,"PROS1","MERTK","PROS1","OPC",NA,NA,NA,NA,NA,NA,NA,"OPC","Neuron","OPC",0.07,"MERTK",NA,NA,"Microglia",NA,NA,"Microglia","Neuron",NA,"Neuron","OPC","Microglia",0.36,"OPC-Microglia","PROS1_MERTK"
1514,"GDNF","GFRA2","GDNF","Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","OPC","Oligodendrocyte",0.22,"GFRA2","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.29,"Oligodendrocyte-Neuron","GDNF_GFRA2"
1526,"GNAI2","ADRA2A","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"ADRA2A","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.35,"Endothelial-Neuron","GNAI2_ADRA2A"
1527,"GNAI2","ADRA2B","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"ADRA2B",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Oligodendrocyte","Neuron","Neuron",0.19,"Endothelial-Neuron","GNAI2_ADRA2B"
1528,"GNAI2","CNR1","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"CNR1","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","OPC","Neuron",0.22,"Endothelial-Neuron","GNAI2_CNR1"
1529,"GNAI2","LPAR3","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"LPAR3","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","Microglia","Astrocyte",0.48,"Endothelial-Astrocyte","GNAI2_LPAR3"
1532,"GNAI2","OPRM1","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"OPRM1","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Microglia","Neuron",0.33,"Endothelial-Neuron","GNAI2_OPRM1"
1533,"POMC","OPRM1","POMC",NA,NA,NA,NA,NA,"Neuron",NA,NA,"Microglia","Neuron","Neuron",0.24,"OPRM1","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Microglia","Neuron",0.33,"Neuron-Neuron","POMC_OPRM1"
1534,"GNAI2","P2RY12","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"P2RY12","Microglia",NA,"Microglia","Microglia",NA,"Microglia",NA,NA,"Neuron","Neuron","Microglia",0.83,"Endothelial-Microglia","GNAI2_P2RY12"
1541,"GPI","AMFR","GPI",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte","Neuron",0.28,"AMFR",NA,NA,NA,NA,NA,NA,NA,"Neuron","Oligodendrocyte","Neuron","Neuron",0.19,"Neuron-Neuron","GPI_AMFR"
1542,"GRN","TNFRSF1A","GRN","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Oligodendrocyte","Neuron","Microglia",0.57,"TNFRSF1A",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Microglia-Neuron","GRN_TNFRSF1A"
1545,"TNF","TNFRSF1A","TNF","Microglia",NA,"Microglia","T cell","Microglia",NA,NA,NA,"Microglia","Neuron","Microglia",0.66,"TNFRSF1A",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Microglia-Neuron","TNF_TNFRSF1A"
1547,"GRN","TNFRSF1B","GRN","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Oligodendrocyte","Neuron","Microglia",0.57,"TNFRSF1B","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Astrocyte","Microglia",0.49,"Microglia-Microglia","GRN_TNFRSF1B"
1549,"OMG","TNFRSF1B","OMG","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Oligodendrocyte","Neuron","Oligodendrocyte",0.34,"TNFRSF1B","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Astrocyte","Microglia",0.49,"Oligodendrocyte-Microglia","OMG_TNFRSF1B"
1550,"TNF","TNFRSF1B","TNF","Microglia",NA,"Microglia","T cell","Microglia",NA,NA,NA,"Microglia","Neuron","Microglia",0.66,"TNFRSF1B","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Astrocyte","Microglia",0.49,"Microglia-Microglia","TNF_TNFRSF1B"
1561,"HAS2","HMMR","HAS2","Oligodendrocyte","OPC",NA,NA,NA,NA,NA,NA,"OPC","Neuron","Oligodendrocyte",0.26,"HMMR",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Astrocyte","Neuron",0.24,"Oligodendrocyte-Neuron","HAS2_HMMR"
1567,"L1CAM","CD9","L1CAM","Neuron",NA,"Neuron","Astrocyte",NA,NA,NA,NA,"Microglia","Neuron","Neuron",0.46,"CD9","Oligodendrocyte",NA,"Microglia",NA,NA,NA,NA,NA,"Oligodendrocyte","OPC","Oligodendrocyte",0.21,"Neuron-Oligodendrocyte","L1CAM_CD9"
1585,"HLA-B","KLRD1","HLA-B",NA,NA,"Microglia",NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Neuron",0.52,"KLRD1",NA,NA,"NK cell",NA,"T cell","NK cell",NA,NA,"Neuron","Microglia","NK cell",0.21,"Neuron-NK cell","HLA-B_KLRD1"
1586,"HLA-E","KLRD1","HLA-E",NA,NA,"Astrocyte",NA,NA,NA,"Endothelial",NA,"Astrocyte","Microglia","Astrocyte",0.36,"KLRD1",NA,NA,"NK cell",NA,"T cell","NK cell",NA,NA,"Neuron","Microglia","NK cell",0.21,"Astrocyte-NK cell","HLA-E_KLRD1"
1591,"HLA-E","KLRC2","HLA-E",NA,NA,"Astrocyte",NA,NA,NA,"Endothelial",NA,"Astrocyte","Microglia","Astrocyte",0.36,"KLRC2","Oligodendrocyte","OPC","NK cell","Oligodendrocyte","NK cell",NA,NA,NA,"OPC","Neuron","Oligodendrocyte",0.22,"Astrocyte-Oligodendrocyte","HLA-E_KLRC2"
1601,"ICAM1","IL2RA","ICAM1","Endothelial",NA,"Endothelial","NK cell","Endothelial",NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.74,"IL2RA",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Microglia","Astrocyte","T cell",0.08,"Endothelial-T cell","ICAM1_IL2RA"
1602,"IL15","IL2RA","IL15",NA,NA,"Microglia",NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.43,"IL2RA",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Microglia","Astrocyte","T cell",0.08,"Neuron-T cell","IL15_IL2RA"
1609,"ICAM1","SPN","ICAM1","Endothelial",NA,"Endothelial","NK cell","Endothelial",NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.74,"SPN","Microglia",NA,NA,NA,"B cell",NA,NA,NA,"Microglia","OPC","Microglia",0.6,"Endothelial-Microglia","ICAM1_SPN"
1610,"SIGLEC1","SPN","SIGLEC1",NA,NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","OPC","Microglia",0.21,"SPN","Microglia",NA,NA,NA,"B cell",NA,NA,NA,"Microglia","OPC","Microglia",0.6,"Microglia-Microglia","SIGLEC1_SPN"
1614,"ICOSLG","ICOS","ICOSLG",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Oligodendrocyte","Neuron","Neuron",0.23,"ICOS",NA,NA,"T cell",NA,"T cell",NA,NA,NA,"Neuron","Neuron","T cell",0.24,"Neuron-T cell","ICOSLG_ICOS"
1645,"RSPO3","FZD8","RSPO3","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"FZD8","Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Astrocyte","Astrocyte",0.78,"Neuron-Astrocyte","RSPO3_FZD8"
1671,"IL13","IL13RA1","IL13",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Neuron","Oligodendrocyte","T cell",0.15,"IL13RA1","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Oligodendrocyte","Microglia",0.44,"T cell-Microglia","IL13_IL13RA1"
1682,"IL13","IL4R","IL13",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Neuron","Oligodendrocyte","T cell",0.15,"IL4R","Microglia",NA,NA,NA,"B cell",NA,"Endothelial",NA,"Microglia","Neuron","Microglia",0.78,"T cell-Microglia","IL13_IL4R"
1684,"IL15","IL15RA","IL15",NA,NA,"Microglia",NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.43,"IL15RA","Endothelial",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Endothelial",0.55,"Neuron-Endothelial","IL15_IL15RA"
1690,"IL17A","IL17RA","IL17A",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Neuron","Oligodendrocyte","T cell",0.15,"IL17RA",NA,NA,NA,NA,"NK cell",NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.34,"T cell-Neuron","IL17A_IL17RA"
1693,"IL17A","IL17RC","IL17A",NA,NA,"T cell",NA,NA,"T cell",NA,NA,"Neuron","Oligodendrocyte","T cell",0.15,"IL17RC",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.46,"T cell-Neuron","IL17A_IL17RC"
1697,"IL18","IL18R1","IL18","OPC","Microglia",NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.61,"IL18R1","Endothelial",NA,NA,NA,"NK cell","T cell","Neuron","Neuron","Neuron","Microglia","Neuron",0.64,"Microglia-Neuron","IL18_IL18R1"
1763,"ITGB2","THY1","ITGB2","Microglia",NA,NA,NA,"NK cell",NA,NA,NA,"Microglia","Neuron","Microglia",0.58,"THY1","Neuron",NA,NA,"Oligodendrocyte","T cell",NA,NA,NA,"Neuron","Neuron","Neuron",0.44,"Microglia-Neuron","ITGB2_THY1"
1772,"LAMA1","ITGA7","LAMA1","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","OPC","Astrocyte",0.47,"ITGA7","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Astrocyte-Astrocyte","LAMA1_ITGA7"
1773,"LAMA2","ITGA7","LAMA2","Endothelial",NA,"Neuron",NA,NA,NA,"Endothelial",NA,"Neuron","OPC","Endothelial",0.54,"ITGA7","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Endothelial-Astrocyte","LAMA2_ITGA7"
1774,"TNC","ITGA7","TNC","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","OPC","Astrocyte",0.7,"ITGA7","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Astrocyte-Astrocyte","TNC_ITGA7"
1775,"LAMA1","RPSA","LAMA1","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Astrocyte","OPC","Astrocyte",0.47,"RPSA",NA,NA,"Microglia",NA,NA,NA,"Neuron","Neuron","Neuron","Oligodendrocyte","Neuron",0.39,"Astrocyte-Neuron","LAMA1_RPSA"
1776,"LAMA2","RPSA","LAMA2","Endothelial",NA,"Neuron",NA,NA,NA,"Endothelial",NA,"Neuron","OPC","Endothelial",0.54,"RPSA",NA,NA,"Microglia",NA,NA,NA,"Neuron","Neuron","Neuron","Oligodendrocyte","Neuron",0.39,"Endothelial-Neuron","LAMA2_RPSA"
1777,"LAMB2","RPSA","LAMB2","Endothelial",NA,"Astrocyte",NA,NA,NA,NA,"Neuron","Astrocyte","Microglia","Astrocyte",0.56,"RPSA",NA,NA,"Microglia",NA,NA,NA,"Neuron","Neuron","Neuron","Oligodendrocyte","Neuron",0.39,"Astrocyte-Neuron","LAMB2_RPSA"
1781,"LGALS1","CD69","LGALS1","Endothelial",NA,"Microglia",NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.72,"CD69","Microglia",NA,"T cell","B cell","T cell",NA,NA,NA,"Microglia","Neuron","Microglia",0.63,"Endothelial-Microglia","LGALS1_CD69"
1784,"LGI2","ADAM11","LGI2","Neuron",NA,"Microglia",NA,NA,NA,NA,"Neuron","OPC","Neuron","Neuron",0.43,"ADAM11","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Neuron",0.23,"Neuron-Neuron","LGI2_ADAM11"
1785,"LGI4","ADAM11","LGI4","Astrocyte",NA,NA,NA,NA,NA,NA,"Neuron","Oligodendrocyte","Astrocyte","Astrocyte",0.51,"ADAM11","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Microglia","Neuron",0.23,"Astrocyte-Neuron","LGI4_ADAM11"
1787,"LGI2","ADAM22","LGI2","Neuron",NA,"Microglia",NA,NA,NA,NA,"Neuron","OPC","Neuron","Neuron",0.43,"ADAM22","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Neuron",0.19,"Neuron-Neuron","LGI2_ADAM22"
