species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	H2AFX	Gamma delta T cells	H2AX	0.128	H2A histone family member X	protein-coding gene	1	Mesoderm	Immune system	0.0266667	0	0.0641643	0.138803
Mm Hs	CENPF	Gamma delta T cells	hcp-1	0.086	centromere protein F	protein-coding gene	1	Mesoderm	Immune system	0.04	0	0.112287	0.07717
Mm Hs	CCNB1	Gamma delta T cells	CCNB	0.069	cyclin B1	protein-coding gene	1	Mesoderm	Immune system	0.0133333	0	0.084376	0.0618259
Mm Hs	H2AFZ	Gamma delta T cells	H2A.Z|H2AZ	0.486	H2A histone family member Z	protein-coding gene	1	Mesoderm	Immune system	0.16	0.333333	0.655117	0.440357
Mm Hs	TRGV2	Gamma delta T cells	VIS2|TCRGV2	0	T cell receptor gamma variable 2	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV10	Gamma delta T cells	V3P|TCRGV10	0	T cell receptor gamma variable 10 (non-functional)	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV11	Gamma delta T cells	V4P|TCRGV11	0	T cell receptor gamma variable 11 (non-functional)	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV1	Gamma delta T cells	V1S1P|TCRGV1	0	T cell receptor gamma variable 1 (non-functional)	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV3	Gamma delta T cells	V1S3|TCRGV3	0	T cell receptor gamma variable 3	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV4	Gamma delta T cells	V1S4|TCRGV4	0	T cell receptor gamma variable 4	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV5	Gamma delta T cells	V1S5|TCRGV5	0	T cell receptor gamma variable 5	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV8	Gamma delta T cells	V1S8|TCRGV8	0	T cell receptor gamma variable 8	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGV9	Gamma delta T cells	V2|TCRGV9	0	T cell receptor gamma variable 9	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRGJ1	Gamma delta T cells	TCRGJ1	0	T cell receptor gamma joining 1	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRGJ2	Gamma delta T cells	TCRGJ2	0	T cell receptor gamma joining 2	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGJP1	Gamma delta T cells	JP1|TCRGJP1	0	T cell receptor gamma joining P1	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGJP2	Gamma delta T cells	JP2|TCRGJP2	0	T cell receptor gamma joining P2	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGJP	Gamma delta T cells	JP|TCRGJP	0	T cell receptor gamma joining P	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRGC1	Gamma delta T cells	TCRGC1	0	T cell receptor gamma constant 1	other	NA	Mesoderm	Immune system	0.0133333	0	0.00160411	0
Hs	TRGC2	Gamma delta T cells	TRGC2(2X)|TRGC2(3X)|TCRGC2	0.001	T cell receptor gamma constant 2	other	NA	Mesoderm	Immune system	0.0266667	0	0.00384986	0
Mm Hs	TRDD1	Gamma delta T cells	NA	0	T cell receptor delta diversity 1	other	NA	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	TRDD2	Gamma delta T cells	NA	0	T cell receptor delta diversity 2	other	NA	Mesoderm	Immune system	NA	NA	NA	NA
Hs	TRDD3	Gamma delta T cells	NA	0	T cell receptor delta diversity 3	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRDJ1	Gamma delta T cells	NA	0	T cell receptor delta joining 1	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRDJ2	Gamma delta T cells	NA	0	T cell receptor delta joining 2	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRDJ3	Gamma delta T cells	NA	0	T cell receptor delta joining 3	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRDJ4	Gamma delta T cells	NA	0	T cell receptor delta joining 4	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRDV1	Gamma delta T cells	hDV101S1	0	T cell receptor delta variable 1	other	NA	Mesoderm	Immune system	0	0	0	0
Hs	TRDV2	Gamma delta T cells	hDV102S1|MGC117421	0	T cell receptor delta variable 2	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	TRDV3	Gamma delta T cells	hDV103S1	0	T cell receptor delta variable 3	other	NA	Mesoderm	Immune system	0	0	0	0
Mm Hs	ITGAL	Macrophages	CD11A	0.013	integrin subunit alpha L	protein-coding gene	1	Mesoderm	Immune system	0	0.141414	0.00408805	0.0106693
Mm Hs	ITGAM	Macrophages	CD11b|CR3A|CD11B	0.025	integrin subunit alpha M	protein-coding gene	1	Mesoderm	Immune system	0.5	0.29495	0.00125786	0.0216037
Mm Hs	CD14	Macrophages	NA	0.051	CD14 molecule	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.749495	0.0251572	0.0327369
Mm Hs	FUT4	Macrophages	FUC-TIV|CD15|ELFT	0.001	fucosyltransferase 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0.00072896
Hs	FCGR3A	Macrophages	CD16a	0.006	Fc fragment of IgG receptor IIIa	protein-coding gene	1	Mesoderm	Immune system	0.583333	0	0.0333333	0
Mm Hs	CD33	Macrophages	SIGLEC3|SIGLEC-3|FLJ00391	0.017	CD33 molecule	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.179798	0.0119497	0.0119284
Hs	FCGR1A	Macrophages	CD64|CD64A	0.001	Fc fragment of IgG receptor Ia	protein-coding gene	1	Mesoderm	Immune system	0.333333	0	0.00251572	0
Mm Hs	CD80	Macrophages	B7.1|B7-1|CD28LG|CD28LG1	0	CD80 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.0020202	0	0.000132538
Hs	LILRB4	Macrophages	LIR-5|ILT3|HM18|LIR5|CD85k	0.002	leukocyte immunoglobulin like receptor B4	protein-coding gene	1	Mesoderm	Immune system	0.5	0	0.0122642	0
Mm Hs	CD86	Macrophages	B7.2|B7-2|CD28LG2	0.026	CD86 molecule	protein-coding gene	1	Mesoderm	Immune system	0.25	0.490909	0.0113208	0.014049
Mm Hs	CD163	Macrophages	MM130|SCARI1	0.005	CD163 molecule	protein-coding gene	1	Mesoderm	Immune system	0.25	0.0989899	0.00628931	0.00119284
Mm Hs	CCR5	Macrophages	CKR-5|CC-CKR-5|CKR5|CD195|IDDM22|CMKBR5	0.015	C-C motif chemokine receptor 5 (gene/pseudogene)	protein-coding gene	1	Mesoderm	Immune system	0	0.2	0	0.0123923
Mm Hs	TLR2	Macrophages	TIL4|CD282	0.014	toll like receptor 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0.000943396	0
Mm Hs	TLR4	Macrophages	hToll|CD284|TLR-4|ARMD10	0	toll like receptor 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0.000314465	0
Mm Hs	ADGRE1	Macrophages	TM7LN3|EMR1	0.033	adhesion G protein-coupled receptor E1	protein-coding gene	1	Mesoderm	Immune system	0	0.654545	0.000628931	0.0212061
Mm Hs	GPR34	Macrophages	NA	0.026	G protein-coupled receptor 34	protein-coding gene	1	Mesoderm	Immune system	0.333333	0.157576	0.00377358	0.0276342
Mm	CCL9	Macrophages	NA	0.037	chemokine (C-C motif) ligand 9	protein coding gene	1	Mesoderm	Immune system	0	0.634343	0	0.0247846
Mm Hs	TREM2	Macrophages	TREM-2|Trem2a|Trem2b|Trem2c	0.042	triggering receptor expressed on myeloid cells 2	protein-coding gene	1	Mesoderm	Immune system	0.75	0	0.00377358	0
Mm Hs	FABP4	Macrophages	A-FABP|aP2	0.028	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.0484848	0.0100629	0.0327369
Mm Hs	S100A8	Macrophages	P8|CGLA|CAGA	0.064	S100 calcium binding protein A8	protein-coding gene	1	Mesoderm	Immune system	0.166667	0	0.0795598	0
Mm	WFDC17	Macrophages	NA	0.037	WAP four-disulfide core domain 17	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	CPM	Macrophages	NA	0.015	carboxypeptidase M	protein-coding gene	1	Mesoderm	Immune system	0.416667	0	0.013522	0.0159708
Mm Hs	CHIT1	Macrophages	CHIT|CHI3	0.003	chitinase 1	protein-coding gene	1	Mesoderm	Immune system	0.25	0	0.000314465	0.00404241
Mm Hs	F13A1	Macrophages	F13A	0.021	coagulation factor XIII A chain	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.515152	0.00408805	0.00709079
Mm	H2-DMA	Macrophages	NA	0.065	"histocompatibility 2, class II, locus DMa"	protein coding gene	1	Mesoderm	Immune system	0	0.6	0	0.0600398
Mm Hs	CX3CR1	Macrophages	CMKDR1|V28|GPR13|CMKBRL1	0.039	C-X3-C motif chemokine receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.490909	0.00220126	0.0337309
Mm Hs	CXCL16	Macrophages	SR-PSOX|CXCLG16|SRPSOX	0.048	C-X-C motif chemokine ligand 16	protein-coding gene	1	Mesoderm	Immune system	0.666667	0.519192	0.063522	0.0299536
Mm Hs	TGFBR1	Macrophages	ALK-5|ALK5|TBRI|TBR-i|MSSE|ESS1	0.031	transforming growth factor beta receptor 1	protein-coding gene	1	Mesoderm	Immune system	0.166667	0	0.0100629	0
Mm Hs	SLAMF9	Macrophages	CD2F-10|CD84-H1|SF2001	0.01	SLAM family member 9	protein-coding gene	1	Mesoderm	Immune system	0	0	0.000628931	0
Mm	MGL2	Macrophages	NA	0.008	macrophage galactose N-acetyl-galactosamine specific lectin 2	protein coding gene	1	Mesoderm	Immune system	0	0.220202	0	0.00284957
Mm Hs	SCIMP	Macrophages	DTFT5783|UNQ5783|FLJ32580|MGC163426|MGC163428|C17orf87	0.008	SLP adaptor and CSK interacting membrane protein	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00157233	0
Mm Hs	LILRA5	Macrophages	ILT11|LIR9|CD85f|LILRB7	0.007	leukocyte immunoglobulin like receptor A5	protein-coding gene	1	Mesoderm	Immune system	0	0.119192	0.0103774	0.00218688
Mm	CLEC4A2	Macrophages	NA	0.034	"C-type lectin domain family 4, member a2"	protein coding gene	1	Mesoderm	Immune system	0	0.660606	0	0.0212061
Mm	CCL12	Macrophages	NA	0.013	chemokine (C-C motif) ligand 12	protein coding gene	1	Mesoderm	Immune system	0	0.319192	0	0.00576541
Mm Hs	CD83	Macrophages	HB15|BL11	0.045	CD83 molecule	protein-coding gene	1	Mesoderm	Immune system	0.666667	0.563636	0.0361635	0.0306163
Mm Hs	C3AR1	Macrophages	C3AR|AZ3B	0.022	complement C3a receptor 1	protein-coding gene	1	Mesoderm	Immune system	0.25	0.519192	0.00534591	0.010338
Mm Hs	STAB1	Macrophages	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	0.018	stabilin 1	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0	0.00220126	0
Mm Hs	MRC1	Macrophages	CLEC13D|CD206|bA541I19.1|CLEC13DL|MRC1L1	0.029	mannose receptor C-type 1	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.585859	0.0081761	0.0166335
Mm Hs	PARP14	Macrophages	KIAA1268|pART8	0.018	poly(ADP-ribose) polymerase family member 14	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.050505	0.0421384	0.00861498
None	SEPP1	Macrophages	NA	0.029	NA	NA	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	FGD2	Macrophages	ZFYVE4	0.017	"FYVE, RhoGEF and PH domain containing 2"	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.2	0.0113208	0.0124586
Mm	FCGR1	Macrophages	NA	0.023	"Fc receptor, IgG, high affinity I"	protein coding gene	1	Mesoderm	Immune system	0	0.484848	0	0.0128562
Mm Hs	RAB7B	Macrophages	MGC9726|MGC16212	0.013	"RAB7B, member RAS oncogene family"	protein-coding gene	1	Mesoderm	Immune system	0.25	0	0.00125786	0
Mm Hs	RBPJ	Macrophages	IGKJRB|RBPJK|KBF2|RBP-J|CBF1|IGKJRB1|RBPSUH	0.051	recombination signal binding protein for immunoglobulin kappa J region	protein-coding gene	1	Mesoderm	Immune system	0.666667	0	0.163522	0
Mm Hs	SLCO2B1	Macrophages	OATP-B|OATP2B1|SLC21A9	0.021	solute carrier organic anion transporter family member 2B1	protein-coding gene	1	Mesoderm	Immune system	0.25	0	0.00314465	0
Mm Hs	NAAA	Macrophages	ASAHL	0.025	N-acylethanolamine acid amidase	protein-coding gene	1	Mesoderm	Immune system	0	0.208081	0.0141509	0.0220013
Mm Hs	MARCH1	Macrophages	FLJ20668|MARCH-I|RNF171	0.005	membrane associated ring-CH-type finger 1	protein-coding gene	1	Mesoderm	Immune system	0.333333	0.020202	0.00471698	0.00384361
Mm Hs	EGLN3	Macrophages	PHD3|HIFPH3	0.012	egl-9 family hypoxia inducible factor 3	protein-coding gene	1	Mesoderm	Immune system	0	0.00808081	0.0150943	0.00960901
Hs	JAML	Macrophages	Gm638|AMICA|AMICA1	0.005	junction adhesion molecule like	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0	0.0289308	0
Mm Hs	FGL2	Macrophages	pT49|T49	0.03	fibrinogen like 2	protein-coding gene	1	Mesoderm	Immune system	0.25	0.177778	0.0349057	0.0231942
Mm	CCL6	Macrophages	NA	0.043	chemokine (C-C motif) ligand 6	protein coding gene	1	Mesoderm	Immune system	0	0.670707	0	0.0325381
Mm Hs	GPNMB	Macrophages	NMB|HGFIN	0.013	glycoprotein nmb	protein-coding gene	1	Mesoderm	Immune system	0.75	0.0949495	0.027044	0.00662691
Mm Hs	CLEC4D	Macrophages	Mpcl|CD368|MCL|Dectin-3|CLECSF8	0.007	C-type lectin domain family 4 member D	protein-coding gene	1	Mesoderm	Immune system	0	0.0848485	0	0.00510272
Mm Hs	ADAM8	Macrophages	CD156|MS2|CD156a	0.01	ADAM metallopeptidase domain 8	protein-coding gene	1	Mesoderm	Immune system	0	0.0929293	0.00566038	0.00801856
Mm Hs	ARL11	Macrophages	ARLTS1|FLJ33930	0.004	ADP ribosylation factor like GTPase 11	protein-coding gene	1	Mesoderm	Immune system	0	0.0727273	0	0.0019218
Mm Hs	MMP12	Macrophages	HME	0.003	matrix metallopeptidase 12	protein-coding gene	1	Mesoderm	Immune system	0	0.0707071	0.00188679	0.00072896
Mm Hs	LYVE1	Macrophages	LYVE-1|XLKD1	0.012	lymphatic vessel endothelial hyaluronan receptor 1	protein-coding gene	1	Mesoderm	Immune system	0.25	0.169697	0.00440252	0.00848244
Mm Hs	PLTP	Macrophages	BPIFE	0.009	phospholipid transfer protein	protein-coding gene	1	Mesoderm	Immune system	0.333333	0.0181818	0.0248428	0.00477137
Mm Hs	VSIG4	Macrophages	Z39IG	0.005	V-set and immunoglobulin domain containing 4	protein-coding gene	1	Mesoderm	Immune system	0.666667	0	0.0110063	0
Mm Hs	MS4A4A	Macrophages	CD20L1|MS4A7	0.002	membrane spanning 4-domains A4A	protein-coding gene	1	Mesoderm	Immune system	0.583333	0.020202	0.00534591	0.000132538
Hs	MS4A6A	Macrophages	CD20L3|MS4A6	0.007	membrane spanning 4-domains A6A	protein-coding gene	1	Mesoderm	Immune system	0.333333	0	0.0389937	0
Mm Hs	FPR1	Macrophages	FPR|FMLP	0.003	formyl peptide receptor 1	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.030303	0.00314465	0.00185553
Mm Hs	CD180	Macrophages	RP105|Ly78|LY64	0.012	CD180 molecule	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.131313	0.000628931	0.0104042
Mm	RETNLA	Macrophages	NA	0.004	resistin like alpha	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	GDF15	Macrophages	PLAB|MIC-1|PDF|NAG-1|PTGFB	0.014	growth differentiation factor 15	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.0181818	0.0566038	0.00258449
Mm Hs	RAB20	Macrophages	FLJ20429	0.017	"RAB20, member RAS oncogene family"	protein-coding gene	1	Mesoderm	Immune system	0.416667	0	0.00628931	0
Mm Hs	HFE	Macrophages	HLA-H	0.017	homeostatic iron regulator	protein-coding gene	1	Mesoderm	Immune system	0	0.436364	0.000314465	0.00775348
Mm Hs	TNF	Macrophages	TNFSF2|DIF|TNF-alpha|TNFA	0.008	tumor necrosis factor	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00125786	0
Mm Hs	CCR2	Macrophages	CC-CKR-2|CKR2|MCP-1-R|CD192|FLJ78302|CMKBR2	0.022	C-C motif chemokine receptor 2	protein-coding gene	1	Mesoderm	Immune system	0	0.282828	0	0.0178926
Mm Hs	SNX20	Macrophages	SLIC-1|SLIC1	0.02	sorting nexin 20	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00125786	0
Mm	CD209A	Macrophages	NA	0.003	CD209a antigen	protein coding gene	1	Mesoderm	Immune system	0	0.0525253	0	0.00238569
Mm Hs	FMNL1	Macrophages	C17orf1B|FMNL	0.022	formin like 1	protein-coding gene	1	Mesoderm	Immune system	0	0.224242	0.00660377	0.0198144
Mm Hs	GPR132	Macrophages	G2A	0.009	G protein-coupled receptor 132	protein-coding gene	1	Mesoderm	Immune system	0	0.0767677	0.000314465	0.00861498
Mm Hs	SLAMF7	Macrophages	CRACC|19A|CS1|CD319	0.013	SLAM family member 7	protein-coding gene	1	Mesoderm	Immune system	0.166667	0	0.00691824	0
Mm Hs	NCEH1	Macrophages	KIAA1363|NCEH|AADACL1	0.025	neutral cholesterol ester hydrolase 1	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.0787879	0.00660377	0.027833
Mm Hs	CCL24	Macrophages	Ckb-6|MPIF-2|eotaxin-2|MPIF2|SCYA24	0.011	C-C motif chemokine ligand 24	protein-coding gene	1	Mesoderm	Immune system	0	0.319192	0	0.00390987
Mm Hs	C5AR1	Macrophages	C5A|C5AR|CD88|C5R1	0.027	complement C5a receptor 1	protein-coding gene	1	Mesoderm	Immune system	0.583333	0.543434	0.0119497	0.0133863
Mm Hs	CD300A	Macrophages	Irp60|CMRF35H|CMRF-35-H9|IRC1|IRC2|IGSF12	0.023	CD300a molecule	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.50101	0.00786164	0.0100729
Mm Hs	CXCL2	Macrophages	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2	0.041	C-X-C motif chemokine ligand 2	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.511111	0.0566038	0.0225977
Mm Hs	CCL7	Macrophages	MCP-3|NC28|FIC|MARC|MCP3|SCYA6|SCYA7	0.017	C-C motif chemokine ligand 7	protein-coding gene	1	Mesoderm	Immune system	0	0.258586	0.000314465	0.0139165
Mm Hs	CCL2	Macrophages	MCP1|MCP-1|MCAF|SMC-CF|GDCF-2|HC11|MGC9434|SCYA2	0.037	C-C motif chemokine ligand 2	protein-coding gene	1	Mesoderm	Immune system	0.5	0.408081	0.0632075	0.0195494
Mm Hs	IL1B	Macrophages	IL1F2|IL-1B|IL1-BETA	0.027	interleukin 1 beta	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.40202	0.0248428	0.0154407
Mm Hs	IRF5	Macrophages	NA	0.028	interferon regulatory factor 5	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.549495	0	0.0173625
Mm Hs	AHR	Macrophages	bHLHe76	0.007	aryl hydrocarbon receptor	protein-coding gene	1	Mesoderm	Immune system	0	0.0161616	0.0113208	0.00662691
Mm Hs	MYO1G	Macrophages	HA-2	0.022	myosin IG	protein-coding gene	1	Mesoderm	Immune system	0	0.226263	0.0238994	0.0129225
Mm Hs	DUSP5	Macrophages	HVH3	0.032	dual specificity phosphatase 5	protein-coding gene	1	Mesoderm	Immune system	0	0.0888889	0.0496855	0.0265076
Mm Hs	GPR171	Macrophages	H963	0.016	G protein-coupled receptor 171	protein-coding gene	1	Mesoderm	Immune system	0	0.0161616	0.0207547	0.015507
Mm Hs	CCR7	Macrophages	BLR2|CDw197|CD197|CMKBR7|EBI1	0.016	C-C motif chemokine receptor 7	protein-coding gene	1	Mesoderm	Immune system	0	0.020202	0.0421384	0.0111332
Mm Hs	DNASE1L3	Macrophages	DNAS1L3|LSD	0.015	deoxyribonuclease 1 like 3	protein-coding gene	1	Mesoderm	Immune system	0	0.111111	0.0100629	0.0131213
Mm Hs	CXCL1	Macrophages	SCYB1|GROa|MGSA-a|NAP-3|MGSA|GRO1|FSP	0.032	C-X-C motif chemokine ligand 1	protein-coding gene	1	Mesoderm	Immune system	0	0.0606061	0.0459119	0.029556
Mm Hs	SAMSN1	Macrophages	NASH1|SASH2|SH3D6B|HACS1|SLy2	0.046	"SAM domain, SH3 domain and nuclear localization signals 1"	protein-coding gene	1	Mesoderm	Immune system	0.25	0	0.0506289	0
Mm Hs	NR4A3	Macrophages	CSMF|MINOR	0.01	nuclear receptor subfamily 4 group A member 3	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.0282828	0.0119497	0.00894632
Mm Hs	CCL22	Macrophages	STCP-1|ABCD-1|DC/B-CK|A-152E5.1|MGC34554|SCYA22	0.002	C-C motif chemokine ligand 22	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.0181818	0.000314465	0.00159046
Mm Hs	S100A4	Macrophages	P9KA|18A2|PEL98|42A|CAPL	0.098	S100 calcium binding protein A4	protein-coding gene	1	Mesoderm	Immune system	0.916667	0	0.369182	0
Mm Hs	MMP9	Macrophages	CLG4B	0.015	matrix metallopeptidase 9	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.020202	0.0081761	0.0168986
Mm Hs	HILPDA	Macrophages	FLJ21076|HIG-2|HIG2|C7orf68	0.033	hypoxia inducible lipid droplet associated	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.0666667	0.0141509	0.0297548
Mm Hs	NRP2	Macrophages	VEGF165R2	0.04	neuropilin 2	protein-coding gene	1	Mesoderm	Immune system	0.666667	0.0848485	0.0330189	0.0399602
Mm Hs	SLC37A2	Macrophages	FLJ00171	0.001	solute carrier family 37 member 2	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0	0	0
Mm Hs	CTSK	Macrophages	PKND|CTSO2|CTSO|PYCD	0.027	cathepsin K	protein-coding gene	1	Mesoderm	Immune system	0	0.0040404	0.0176101	0.0294897
Mm Hs	CD36	Macrophages	SCARB3|GPIV|GP4|GP3B	0.042	CD36 molecule	protein-coding gene	1	Mesoderm	Immune system	0.666667	0.232323	0.0320755	0.0379722
Mm Hs	LPCAT2	Macrophages	FLJ20481|AGPAT11|LysoPAFAT|AYTL1	0.034	lysophosphatidylcholine acyltransferase 2	protein-coding gene	1	Mesoderm	Immune system	0.25	0.349495	0.00377358	0.0316766
Mm Hs	HPGDS	Macrophages	GSTS|H-PGDS|PGD2|GSTS1-1|GSTS1	0.033	hematopoietic prostaglandin D synthase	protein-coding gene	1	Mesoderm	Immune system	0.333333	0.391919	0.0172956	0.0255136
Mm Hs	IFNAR2	Macrophages	IFNABR	0.024	interferon alpha and beta receptor subunit 2	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.234343	0.00503145	0.0196819
Mm Hs	MS4A7	Macrophages	CD20L4|CFFM4|MS4A8	0.027	membrane spanning 4-domains A7	protein-coding gene	1	Mesoderm	Immune system	0.833333	0.652525	0.0292453	0.00609675
Mm Hs	SLC11A1	Macrophages	NRAMP|NRAMP1	0.017	solute carrier family 11 member 1	protein-coding gene	1	Mesoderm	Immune system	0.416667	0	0.00503145	0
Mm Hs	HPGD	Macrophages	SDR36C1	0.044	15-hydroxyprostaglandin dehydrogenase	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.446465	0.0191824	0.0348575
Mm Hs	CCL3	Macrophages	G0S19-1|LD78ALPHA|MIP-1-alpha|SCYA3	0.036	C-C motif chemokine ligand 3	protein-coding gene	1	Mesoderm	Immune system	0.166667	0.440404	0.0072327	0.0294897
Mm Hs	CLEC7A	Macrophages	dectin-1|hDectin-1|CD369|SCARE2|CLECSF12	0.03	C-type lectin domain containing 7A	protein-coding gene	1	Mesoderm	Immune system	0.75	0.375758	0.0440252	0.0135852
Mm Hs	CD5L	Macrophages	Spalpha|API6	0.005	CD5 molecule like	protein-coding gene	1	Mesoderm	Immune system	0.0833333	0.050505	0.000628931	0.00483764
Mm	LILR4B	Macrophages	NA	0.016	"leukocyte immunoglobulin-like receptor, subfamily B, member 4B"	protein coding gene	1	Mesoderm	Immune system	0	0.339394	0	0.00848244
Mm Hs	CCL5	Macrophages	RANTES|SISd|TCP228|MGC17164|D17S136E|SCYA5	0.042	C-C motif chemokine ligand 5	protein-coding gene	1	Mesoderm	Immune system	0	0.109091	0.0861635	0.0302187
Mm Hs	CYTH4	Macrophages	CYT4|cytohesin-4|PSCD4	0.053	cytohesin 4	protein-coding gene	1	Mesoderm	Immune system	0.333333	0.692929	0.000943396	0.0430749
Mm	CLEC4N	Macrophages	NA	0.02	"C-type lectin domain family 4, member n"	protein coding gene	1	Mesoderm	Immune system	0	0.432323	0	0.00994036
Mm	CD209F	Macrophages	NA	0.003	CD209f antigen	protein coding gene	1	Mesoderm	Immune system	0	0.109091	0	0.000198807
Mm Hs	CD3E	Macrophages	NA	0.041	CD3e molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.00808081	0.1	0.03055
Mm Hs	CD19	Macrophages	NA	0.007	CD19 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00786164	0.00629556
Mm Hs	CD74	Macrophages	DHLAG	0.169	CD74 molecule	protein-coding gene	1	Mesoderm	Immune system	0.75	0.721212	0.362264	0.105633
Mm	LYZ1	Macrophages	NA	0.031	lysozyme 1	protein coding gene	1	Mesoderm	Immune system	0	0.345455	0	0.027833
Mm Hs	CSF1R	Macrophages	C-FMS|CSFR|CD115|FMS	0.064	colony stimulating factor 1 receptor	protein-coding gene	1	Mesoderm	Immune system	0.5	0.925252	0.0160377	0.0479788
Mm Hs	LGALS3	Macrophages	MAC-2|GALIG|LGALS2	0.164	galectin 3	protein-coding gene	1	Mesoderm	Immune system	0.583333	0.650505	0.307862	0.111199
Mm Hs	CD68	Macrophages	SCARD1|macrosialin|DKFZp686M18236|LAMP4	0.063	CD68 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.923232	0	0.0481776
Mm Hs	UCP2	Macrophages	SLC25A8|BMIQ4	0.013	uncoupling protein 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00503145	0
Mm Hs	TREML4	Macrophages	TLT4	0.003	triggering receptor expressed on myeloid cells like 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	FGR	Macrophages	c-fgr|p55c-fgr|SRC2	0.013	"FGR proto-oncogene, Src family tyrosine kinase"	protein-coding gene	1	Mesoderm	Immune system	0.416667	0.175758	0.0204403	0.0064281
Mm Hs	CYBB	Macrophages	GP91-PHOX|NOX2|CGD	0.059	cytochrome b-245 beta chain	protein-coding gene	1	Mesoderm	Immune system	0.916667	0.763636	0.0342767	0.0406229
Mm Hs	CD200	Macrophages	MRC|OX-2	0.111	CD200 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.0161616	0.022956	0.138569
Mm Hs	CD200R1	Macrophages	HCRTR2|CD200R|MOX2R	0.002	CD200 receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.0444444	0	0.00178926
Mm Hs	GATA6	Macrophages	NA	0.019	GATA binding protein 6	protein-coding gene	1	Mesoderm	Immune system	0	0.0040404	0.00471698	0.02167
